section,subsection,subsubsection,subsubsubsection,subsubsubsubsection,start page,end page
Introduction,WHAT IS THIS?,,,,3,3
Introduction,The Basics,What Is Daggerheart?,,,3,3
Introduction,The Basics,THE GOLDEN RULE,,,3,3
Introduction,The Basics,RULINGS OVER RULES,,,3,3
CHARACTER CREATION,,,,,4,4
CHARACTER CREATION,,STEP 1,,,4,4
CHARACTER CREATION,,STEP 2,,,4,4
CHARACTER CREATION,,STEP 3,,,4,4
CHARACTER CREATION,,STEP 4,,,4,5
CHARACTER CREATION,,STEP 5,,,5,5
CHARACTER CREATION,,STEP 6,,,5,5
CHARACTER CREATION,,STEP 7,,,5,5
CHARACTER CREATION,,EXAMPLE EXPERIENCES,,,5,5
CHARACTER CREATION,,STEP 8,,,6,6
CHARACTER CREATION,,STEP 9,,,6,6
CORE MATERIALS,DOMAINS,,,,7,7
CORE MATERIALS,DOMAINS,ARCANA,,,7,7
CORE MATERIALS,DOMAINS,BLADE,,,7,7
CORE MATERIALS,DOMAINS,BONE,,,7,7
CORE MATERIALS,DOMAINS,CODEX,,,7,7
CORE MATERIALS,DOMAINS,GRACE,,,7,7
CORE MATERIALS,DOMAINS,MIDNIGHT,,,7,7
CORE MATERIALS,DOMAINS,SAGE,,,7,7
CORE MATERIALS,DOMAINS,SPLENDOR,,,7,7
CORE MATERIALS,DOMAINS,VALOR,,,7,7
CORE MATERIALS,DOMAINS,CLASS DOMAINS,,,7,7
CORE MATERIALS,DOMAINS,DOMAIN CARDS,,,8,8
CORE MATERIALS,CLASSES,,,,8,8
CORE MATERIALS,CLASSES,SUBCLASSES,,,8,8
CORE MATERIALS,CLASSES,BARD,,,9,9
CORE MATERIALS,CLASSES,BARD,TROUBADOUR,,9,9
CORE MATERIALS,CLASSES,BARD,WORDSMITH,,9,10
CORE MATERIALS,CLASSES,BARD,BACKGROUND QUESTIONS,,10,10
CORE MATERIALS,CLASSES,BARD,CONNECTIONS,,10,10
CORE MATERIALS,CLASSES,DRUID,,,10,11
CORE MATERIALS,CLASSES,DRUID,WARDEN OF THE ELEMENTS,,11,11
CORE MATERIALS,CLASSES,DRUID,WARDEN OF RENEWAL,,11,11
CORE MATERIALS,CLASSES,DRUID,BACKGROUND QUESTIONS,,11,11
CORE MATERIALS,CLASSES,DRUID,CONNECTIONS,,11,11
CORE MATERIALS,CLASSES,DRUID,BEASTFORM OPTIONS,,12,12
CORE MATERIALS,CLASSES,DRUID,BEASTFORM OPTIONS,TIER 1,12,13
CORE MATERIALS,CLASSES,DRUID,BEASTFORM OPTIONS,TIER 2,13,13
CORE MATERIALS,CLASSES,DRUID,BEASTFORM OPTIONS,TIER 3,14,14
CORE MATERIALS,CLASSES,DRUID,BEASTFORM OPTIONS,TIER 4,14,15
CORE MATERIALS,CLASSES,GUARDIAN,,,15,16
CORE MATERIALS,CLASSES,GUARDIAN,STALWART,,16,16
CORE MATERIALS,CLASSES,GUARDIAN,VENGEANCE,,16,16
CORE MATERIALS,CLASSES,GUARDIAN,BACKGROUND QUESTIONS,,16,16
